Title,Rating,Genre,Company,Budget,Popularity,Revenue,Runtime,Score 1,Votes 1,Score 2,Votes 2
Intolerable Cruelty,PG-13,Comedy,Universal Pictures,60000000,22.620125,119940815,100,5.8,391,6.2,93000
Star Trek: Generations,PG,Action,Paramount Pictures,38000000,14.779041,120000000,118,6.4,452,6.6,78000
Eight Below,PG,Adventure,Walt Disney Pictures,40000000,24.287306,120455994,120,6.7,542,7.3,62000
Wayne's World,PG-13,Comedy,Paramount Pictures,20000000,21.815122,121697323,94,6.5,728,7,148000
Executive Decision,R,Action,Warner Bros.,55000000,17.231675,121969216,133,5.8,256,6.4,52000
Nanny McPhee,PG,Comedy,Universal Pictures,25000000,24.356483,122489822,97,6.4,711,6.6,70000
Magic Mike XXL,R,Comedy,Warner Bros.,14800000,29.660993,122513057,115,6.3,706,5.6,53000
Nutty Professor II: The Klumps,PG-13,Comedy,Universal Pictures,84000000,17.783361,123307945,106,4.7,332,4.4,49000
The Time Machine,PG-13,Action,Warner Bros.,80000000,25.978555,123729176,96,5.8,631,6,120000
Ride Along 2,PG-13,Action,Universal Pictures,40000000,25.136082,124827316,102,6.1,555,5.9,55000
U-571,PG-13,Action,Universal Pictures,62000000,18.096884,127666415,116,6.1,340,6.6,79000
Pan,PG,Adventure,Warner Bros.,150000000,48.03528,128388320,111,5.9,954,5.7,62000
About a Boy,PG-13,Comedy,Universal Pictures,27000000,28.227984,129000000,101,6.6,607,7.1,176000
Mean Girls,PG-13,Comedy,Paramount Pictures,17000000,36.423717,129042871,97,6.9,2320,7,347000
Atonement,R,Drama,Universal Pictures,30000000,33.369305,129266061,123,7.4,1049,7.8,259000
"You, Me and Dupree",PG-13,Comedy,Universal Pictures,54000000,18.600367,130431368,108,5.4,407,5.6,79000
School of Rock,PG-13,Comedy,Paramount Pictures,35000000,43.057323,131282949,108,6.7,1414,7.1,283000
2 Guns,R,Action,Universal Pictures,61000000,42.881415,131940411,109,6.6,1589,6.7,201000
V for Vendetta,R,Action,Warner Bros.,54000000,84.630969,132511035,132,7.7,4442,8.1,1100000
Star Trek IV: The Voyage Home,PG,Action,Paramount Pictures,24000000,22.258428,133000000,119,6.9,477,7.3,81000
Babel,R,Drama,Paramount Pictures,25000000,25.785925,135330182,143,6.9,1055,7.4,293000
Stardust,PG-13,Adventure,Paramount Pictures,70000000,48.032734,135560026,127,7.1,1184,7.6,260000
Conspiracy Theory,R,Action,Warner Bros.,75000000,22.179658,136982834,135,6.5,431,6.7,96000
Contagion,PG-13,Drama,Warner Bros.,60000000,38.820858,137551594,106,6.2,1325,6.7,290000
Deep Impact,PG-13,Action,Paramount Pictures,75000000,34.070054,140464664,120,5.9,855,6.2,168000
Trainwreck,R,Comedy,Universal Pictures,35000000,72.774941,140795793,125,5.9,1181,6.2,132000
Meet Joe Black,PG-13,Drama,Universal Pictures,90000000,36.069611,142940100,178,6.9,1147,7.2,223000
Spy Game,R,Action,Universal Pictures,92000000,27.166757,143049560,126,6.8,579,7.1,149000
Pete's Dragon,PG,Action,Walt Disney Pictures,65000000,31.974359,143695338,102,6.2,679,6.7,55000
Charlotte's Web,G,Adventure,Paramount Pictures,85000000,14.132583,144000000,97,5.8,288,6.3,39000
No Strings Attached,R,Comedy,Paramount Pictures,25000000,38.688822,147780440,107,6.1,1331,6.2,219000
The Game Plan,PG,Comedy,Walt Disney Pictures,22000000,20.699212,147880543,110,6,428,6.1,61000
Seabiscuit,PG-13,Drama,Universal Pictures,87000000,14.824166,148336445,141,6.7,216,7.3,68000
Death Becomes Her,PG-13,Comedy,Universal Pictures,55000000,29.498304,149022650,104,6.3,636,6.6,108000
Congo,PG-13,Action,Paramount Pictures,50000000,10.755847,152022101,109,5,213,5.2,43000
Tower Heist,PG-13,Action,Universal Pictures,75000000,36.743324,152930623,104,5.8,932,6.2,137000
The Devil's Advocate,R,Drama,Warner Bros.,57000000,33.8473,152944660,144,7.2,1374,7.5,342000
Gremlins,PG,Comedy,Warner Bros.,11000000,45.072136,153083102,106,6.9,1596,7.3,204000
Ride Along,PG-13,Action,Universal Pictures,25000000,28.468,153997819,99,6.1,853,6.2,106000
Cool Runnings,PG,Adventure,Walt Disney Pictures,14000000,22.409117,154864401,98,6.8,491,7,96000
Lara Croft Tomb Raider: The Cradle of Life,PG-13,Action,Paramount Pictures,95000000,56.811056,156505388,117,5.5,1418,5.6,132000
The Fast and the Furious: Tokyo Drift,PG-13,Action,Universal Pictures,85000000,8.282876,158468292,104,6.1,1705,6,252000
Unforgiven,R,Drama,Warner Bros.,14000000,37.380435,159157447,131,7.7,1113,8.2,385000
Daylight,PG-13,Action,Universal Pictures,80000000,16.681269,159212469,115,5.8,378,5.9,68000
The Jackal,R,Action,Universal Pictures,60000000,19.747459,159330280,124,6.1,527,6.4,109000
Johnny English Reborn,PG,Action,Universal Pictures,45000000,35.6585,160078586,101,6,1007,6.3,123000
Hellboy II: The Golden Army,PG-13,Action,Universal Pictures,85000000,58.57976,160388063,120,6.5,1527,7,260000
Johnny English,PG,Action,Universal Pictures,40000000,28.029015,160583018,88,6,852,6.2,152000
Flight,R,Drama,Paramount Pictures,31000000,42.213765,161772375,138,6.5,2415,7.3,334000
The Spiderwick Chronicles,PG,Action,Paramount Pictures,90000000,21.436682,162839667,95,6.3,572,6.5,91000
World Trade Center,PG-13,Drama,Paramount Pictures,63000000,24.697533,162945894,128,5.9,447,5.9,79000
Up in the Air,R,Comedy,Paramount Pictures,25000000,33.704181,163670000,109,6.7,1205,7.4,324000
The Incredible Hulk,PG-13,Action,Universal Pictures,150000000,62.898336,163712074,114,6.1,3021,6.7,448000
The Huntsman: Winter's War,PG-13,Action,Universal Pictures,115000000,60.467984,164602163,114,6,1523,6.1,101000
The Muppets,PG,Adventure,Walt Disney Pictures,45000000,17.047276,165184237,103,6.5,501,7.1,89000
The Scorpion King,PG-13,Action,Universal Pictures,60000000,37.537093,165333180,92,5.3,779,5.5,133000
The Princess Diaries,G,Comedy,Walt Disney Pictures,37000000,40.176265,165335153,115,6.5,1023,6.4,133000
Alexander,R,Action,Warner Bros.,155000000,39.019229,167298192,175,5.6,927,5.6,165000
Dumb and Dumber To,PG-13,Comedy,Universal Pictures,40000000,67.767785,169837010,110,5.4,1127,5.6,131000
The Specialist,R,Action,Warner Bros.,45000000,16.582709,170362582,110,5.5,313,5.6,63000
Cloverfield,PG-13,Action,Paramount Pictures,25000000,46.942396,170764026,85,6.4,2251,7,379000
Blood Diamond,R,Adventure,Warner Bros.,100000000,52.792678,170877916,143,7.3,2281,8,511000
Contact,PG,Drama,Warner Bros.,90000000,55.249434,171120329,150,7.2,1308,7.5,260000
Couples Retreat,PG-13,Comedy,Universal Pictures,70000000,26.676487,171844840,113,5.3,588,5.5,104000
Along Came Polly,PG-13,Comedy,Universal Pictures,42000000,33.238296,171963386,90,5.8,773,6,129000
The Santa Clause 2,G,Comedy,Walt Disney Pictures,65000000,14.646884,172855065,104,5.5,297,5.7,52000
Evan Almighty,PG,Comedy,Universal Pictures,175000000,27.082182,173000000,96,5.3,1151,5.4,142000
Anchorman 2: The Legend Continues,PG-13,Comedy,Paramount Pictures,50000000,38.125008,173649015,119,6,923,6.3,172000
The Bucket List,PG-13,Adventure,Warner Bros.,45000000,31.305336,175372502,97,7,1111,7.4,235000
The Italian Job,PG-13,Action,Paramount Pictures,60000000,62.766854,176070171,110,6.6,1919,7,350000
Flubber,PG,Comedy,Walt Disney Pictures,80000000,11.50396,177977226,93,5.3,695,5.3,86000
Dante's Peak,PG-13,Action,Universal Pictures,116000000,16.90444,178127760,108,5.7,428,6,85000
The Dictator,R,Comedy,Paramount Pictures,65000000,31.349143,179379533,83,5.9,1743,6.4,286000
Liar Liar,PG-13,Comedy,Universal Pictures,45000000,26.721386,181000000,86,6.4,1424,6.9,289000
Poseidon,PG-13,Action,Warner Bros.,160000000,21.133748,181674817,99,5.5,583,5.7,100000
The Bridges of Madison County,PG-13,Drama,Warner Bros.,24000000,17.606087,182016617,135,7.3,385,7.6,76000
The Haunted Mansion,PG,Comedy,Walt Disney Pictures,90000000,16.302378,182290266,99,5.2,466,5.1,44000
The BFG,PG,Adventure,Walt Disney Pictures,140000000,44.19092,183345589,120,6,1000,6.4,80000
Jupiter Ascending,PG-13,Action,Warner Bros.,176000003,85.36908,183987723,124,5.2,2768,5.3,182000
Watchmen,R,Action,Warner Bros.,130000000,64.798873,185258983,163,7,2811,7.6,520000
Hugo,PG,Drama,Paramount Pictures,170000000,32.319043,185770160,126,7,2141,7.5,310000
The Santa Clause,PG,Comedy,Walt Disney Pictures,22000000,16.234053,189833357,97,6.3,489,6.5,102000
Outbreak,R,Action,Warner Bros.,50000000,30.397496,189859560,127,6.3,513,6.6,123000
The Longest Yard,PG-13,Comedy,Paramount Pictures,82000000,26.065735,190320568,113,6.2,785,6.4,167000
The Sum of All Fears,PG-13,Action,Paramount Pictures,68000000,22.392544,193000000,124,5.9,437,6.4,108000
The Hunt for Red October,PG,Action,Paramount Pictures,30000000,46.212155,199200000,134,7.2,957,7.6,186000
